R2-PINH,153.67,10.16,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,87.63,64.77,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,156.21,55.88,180.00,5k1,RESC1005X40
R2-USB1,156.21,57.15,0.00,5k1,RESC1005X40
R2_BAT,119.38,48.26,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,66.04,35.56,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.12,29.21,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,27.94,24.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,24.13,24.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,20.32,24.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,16.51,24.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,31.75,24.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESSET_BUTTON,49.00,107.67,180.00,RESSET_BUTTON,MYBUTTON
R_BOOT,20.97,106.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,100.33,58.42,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.69,106.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,60.96,25.40,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.72,106.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,152.41,15.24,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,62.23,15.24,0.00,,SJ
TP1,86.36,106.68,0.00,TPTP20R,TP20R
TP10,31.75,12.70,0.00,TPTP20R,TP20R
TP11,57.15,26.67,0.00,TPTP20R,TP20R
TP12,57.15,46.99,0.00,TPTP20R,TP20R
TP13,57.15,41.91,0.00,TPTP20R,TP20R
TP14,125.73,59.69,0.00,TPTP20R,TP20R
TP15,57.15,31.75,0.00,TPTP20R,TP20R
TP16,57.15,57.15,0.00,TPTP20R,TP20R
TP17,57.15,52.07,0.00,TPTP20R,TP20R
TP2,86.36,101.60,0.00,TPTP20R,TP20R
TP3,121.92,60.96,0.00,TPTP20R,TP20R
TP4,86.36,91.44,0.00,TPTP20R,TP20R
TP5,86.36,86.36,0.00,TPTP20R,TP20R
TP6,86.36,81.28,0.00,TPTP20R,TP20R
TP7,20.32,7.62,0.00,TPTP20R,TP20R
TP8,24.13,8.89,0.00,TPTP20R,TP20R
TP9,50.80,35.56,0.00,TPTP20R,TP20R
U1,41.91,52.07,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.70,52.07,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,90.17,57.15,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,124.46,53.34,0.00,MAX17048G+T10,SON50P200X200X80-9N
